Rang;Titre;Périodicité;Période;Document;"Diffusion France Payée";"Evolution en %"
141;"L'Officiel de la Couture";Mensuel;20152016;DSH;57969;-4,76
197;"L'Officiel des Spectacles";Hebdomadaire;20152016;DSH;33700;-8,51
146;Okapi;Bimensuel;20152016;DSH;55979;-4,31
299;"oops !";Bimensuel;20152016;-;NC;NC
199;L'Optimum;Mensuel;20152016;DSH;33560;-1,6
156;"Options au Coeur du Social UGICT-CGT";Mensuel;20152016;DSH;50976;10,42
205;"Les P'Tites Princesses";Mensuel;20152016;DSH;30346;-9,22
210;"Les P'Tites Sorcières";Mensuel;20152016;DSH;28493;-5,65
162;Papilles;Mensuel;20152016;DSH;49962;-4,68
286;"Parapente Magazine";Bimestriel;20152016;DSH;6452;-2,38
55;Parents;Mensuel;20152016;DSH;195784;-6,17
15;"Paris Match";Hebdomadaire;20152016;PV;543528;-4,92
295;"Paris Match - Edition Belgique";Hebdomadaire;20152016;DSH;0;NA
226;pariscope;Hebdomadaire;20152016;DSH;25685;-10,03
30;"Le Parisien/Aujourd'hui en France Magazine";Hebdomadaire;20152016;PV;322536;-5,7
294;"Partenaires Savoie  (CCI Savoie)";Bimestriel;20152016;DSH;13;8,33
22;"Le Particulier";Mensuel;20152016;DSH;371664;-5,26
169;"Passion Rando Magazine";Trimestriel;20152016;DSH;46248;NA
228;"Pâtisserie Cuisine Actuelle";Trimestriel;20152016;DSH;25444;-36,89
211;"La Pêche et les Poissons";Mensuel;20152016;DSH;28341;1,79
270;"Pêche Mouche";Bimestriel;20152016;DSH;10343;-1,53
253;"Le Pêcheur de France";Mensuel;20152016;DSH;14822;-5,63
67;Pèlerin;Hebdomadaire;20152016;DSH;162622;-6,3
168;"Philosophie Magazine";Mensuel;20152016;DSH;46838;-3,19
202;Phosphore;Mensuel;20152016;DSH;32671;-12,22
280;Pianiste;Bimestriel;20152016;DSH;8400;-12,81
230;Picoti;Mensuel;20152016;DSH;24992;3,48
123;"Picsou Magazine";Mensuel;20152016;DSH;71679;-11,42
246;"Planète Foot";Mensuel;20152016;DSH;17325;10,15
303;"Plantes et Santé";Mensuel;20152016;-;NC;NC
12;"Pleine Vie";Mensuel;20152016;DSH;701808;-1,94
107;"Plus de Pep's";Bimestriel;20152016;DSH;95996;NA
26;"Le Point";Hebdomadaire;20152016;PV;348689;-7,76
70;"Point de Vue";Hebdomadaire;20152016;DSH;155586;-6,48
207;"Polka Magazine";Trimestriel;20152016;DSH;29608;-0,55
110;"Pomme d'Api";Mensuel;20152016;DSH;92405;-5,44
147;Popi;Mensuel;20152016;DSH;55764;-3,13
225;"Pour la Science";Mensuel;20152016;DSH;26071;-2,24
222;"Pratique des Arts";Bimestriel;20152016;DSH;27031;-7,02
108;Première;Mensuel;20152016;DSH;93659;-5,36
293;"Présences CCI Grenoble";Mensuel;20152016;DSH;142;-6,58
38;Prima;Mensuel;20152016;DSH;282607;-5,95
34;"Psychologies Magazine";Mensuel;20152016;DSH;304781;0,36
74;Public;Hebdomadaire;20152016;PV;147255;-21,82
221;"La Recherche";Mensuel;20152016;DSH;27166;-2,2
65;Régal;Bimestriel;20152016;DSH;164821;-1,23
131;"Réponse à Tout !";Mensuel;20152016;DSH;63611;-8,05
187;"Réponses Photo";Mensuel;20152016;DSH;37670;-8,1
271;"La Revue des Montres";Mensuel;20152016;DSH;10280;-2,1
173;"La Revue Nationale de la Chasse";Mensuel;20152016;DSH;43533;0,8
209;"Rock & Folk";Mensuel;20152016;DSH;29374;-2,01
58;Rustica;Hebdomadaire;20152016;DSH;183235;-3,17
36;"Santé Magazine";Mensuel;20152016;DSH;298410;-5,02
136;Saveurs;Bimestriel;20152016;DSH;62123;-6,18
46;"Science & Vie";Mensuel;20152016;DSH;255512;-3,06
154;"Science & Vie Découvertes";Mensuel;20152016;DSH;51999;2,91
66;"Science & Vie Junior";Mensuel;20152016;DSH;163684;-2,88
49;"Sciences et Avenir";Mensuel;20152016;DSH;232585;-6,7
201;"Sciences Humaines";Mensuel;20152016;DSH;32750;0,07
134;"Sélection Reader's Digest";Mensuel;20152016;DSH;62982;-12,13
