Rang;Titre;Périodicité;Période;Document;"Diffusion France Payée";"Evolution en %"
4;"Aujourd'hui en France";Quotidien;20152016;PV;135151;-6,08
6;"La Croix";Quotidien;20152016;PV;92075;-0,34
5;"Les Echos";Quotidien;20152016;PV;127475;0,94
3;"L'Equipe Edition Générale";Quotidien;20152016;PV;228740;5,19
1;"Le Figaro";Quotidien;20152016;PV;305387;-2,4
8;L'Humanité;Quotidien;20152016;DSH;35746;-3,98
7;Libération;Quotidien;20152016;PV;77094;-18,81
2;"Le Monde";Quotidien;20152016;PV;264559;-2,72
9;"The New York Times";Quotidien;20152016;DSH;15219;-6,38 
